id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0086,mixtral-8x7b,zero_shot,0.2,0.7778,0.1327,0.156
HFT-0087,mixtral-8x7b,zero_shot,0.0,0.0,0.1084,0.14
HFT-0088,mixtral-8x7b,zero_shot,0.0,0.0,0.1228,0.14
HFT-0089,mixtral-8x7b,zero_shot,0.0,0.0,0.1204,0.14
HFT-0090,mixtral-8x7b,zero_shot,0.0,0.0,0.1248,0.14
HFT-0091,mixtral-8x7b,zero_shot,0.0,0.0,0.1242,0.14
HFT-0092,mixtral-8x7b,zero_shot,0.0,0.0,0.1028,0.14
HFT-0093,mixtral-8x7b,zero_shot,0.0,0.0,0.1248,0.14
HFT-0094,mixtral-8x7b,zero_shot,0.1,0.5,0.1105,0.1562
HFT-0095,mixtral-8x7b,zero_shot,0.2,0.7778,0.1349,0.1513
HFT-0096,mixtral-8x7b,zero_shot,0.6,1.0,0.149,0.1741
HFT-0097,mixtral-8x7b,zero_shot,0.7,1.0,0.1548,0.1909
HFT-0098,mixtral-8x7b,zero_shot,0.0,0.0,0.126,0.14
HFT-0099,mixtral-8x7b,zero_shot,0.0,0.0,0.094,0.14
HFT-0100,mixtral-8x7b,zero_shot,0.0,0.0,0.1184,0.14
HFT-0101,mixtral-8x7b,zero_shot,0.4,0.9762,0.1351,0.1677
HFT-0102,mixtral-8x7b,zero_shot,0.8,1.0,0.178,0.2069
HFT-0103,mixtral-8x7b,zero_shot,0.0,0.0,0.1212,0.14
HFT-0104,mixtral-8x7b,zero_shot,0.0,0.0,0.124,0.1434
HFT-0105,mixtral-8x7b,zero_shot,0.0,0.0,0.1292,0.14
HFT-0106,mixtral-8x7b,zero_shot,0.0,0.0,0.1357,0.14
HFT-0107,mixtral-8x7b,zero_shot,0.0,0.0,0.0983,0.14
HFT-0108,mixtral-8x7b,zero_shot,0.1,0.5,0.1122,0.1516
HFT-0109,mixtral-8x7b,zero_shot,0.0,0.0,0.1344,0.14
HFT-0110,mixtral-8x7b,zero_shot,0.7,1.0,0.1621,0.1932
HFT-0111,mixtral-8x7b,zero_shot,0.0,0.0,0.1212,0.14
HFT-0112,mixtral-8x7b,zero_shot,0.1,0.5,0.1396,0.1557
HFT-0113,mixtral-8x7b,zero_shot,0.0,0.0,0.0804,0.1478
HFT-0114,mixtral-8x7b,zero_shot,0.8,1.0,0.1622,0.1793
HFT-0115,mixtral-8x7b,zero_shot,0.0,0.0,0.1052,0.14
HFT-0116,mixtral-8x7b,zero_shot,0.1,0.5,0.1206,0.1521
HFT-0117,mixtral-8x7b,zero_shot,0.3,0.9167,0.1092,0.1595
HFT-0118,mixtral-8x7b,zero_shot,0.8,1.0,0.1666,0.1875
HFT-0119,mixtral-8x7b,zero_shot,0.0,0.0,0.1172,0.14
HFT-0120,mixtral-8x7b,zero_shot,0.2,0.7778,0.1207,0.164
HFT-0121,mixtral-8x7b,zero_shot,0.0,0.0,0.136,0.14
HFT-0122,mixtral-8x7b,zero_shot,0.0,0.0,0.1296,0.14
HFT-0123,mixtral-8x7b,zero_shot,0.0,0.0,0.0856,0.14
HFT-0124,mixtral-8x7b,zero_shot,0.0,0.0,0.1308,0.14
HFT-0125,mixtral-8x7b,zero_shot,0.0,0.0,0.1144,0.14
HFT-0126,mixtral-8x7b,zero_shot,0.0,0.0,0.1181,0.14
HFT-0127,mixtral-8x7b,zero_shot,0.0,0.0,0.1198,0.1454
HFT-0128,mixtral-8x7b,zero_shot,0.0,0.0,0.1174,0.1471
HFT-0129,mixtral-8x7b,zero_shot,0.6,1.0,0.1491,0.1847
HFT-0130,mixtral-8x7b,zero_shot,0.0,0.0,0.0832,0.14
HFT-0131,mixtral-8x7b,zero_shot,0.1,0.5,0.1413,0.1548
HFT-0132,mixtral-8x7b,zero_shot,0.6,1.0,0.1417,0.1775
HFT-0133,mixtral-8x7b,zero_shot,0.0,0.0,0.1032,0.14
HFT-0134,mixtral-8x7b,zero_shot,0.3,0.9167,0.1308,0.1526
HFT-0135,mixtral-8x7b,zero_shot,0.0,0.0,0.1152,0.14
HFT-0136,mixtral-8x7b,zero_shot,0.5,0.996,0.1344,0.1892
HFT-0137,mixtral-8x7b,zero_shot,0.3,0.9167,0.135,0.1552
HFT-0138,mixtral-8x7b,zero_shot,0.2,0.7778,0.1173,0.1597
HFT-0139,mixtral-8x7b,zero_shot,0.1,0.5,0.1156,0.1619
HFT-0140,mixtral-8x7b,zero_shot,0.0,0.0,0.136,0.14
HFT-0141,mixtral-8x7b,zero_shot,0.0,0.0,0.1192,0.14
HFT-0142,mixtral-8x7b,zero_shot,0.0,0.0,0.0752,0.14
HFT-0143,mixtral-8x7b,zero_shot,0.0,0.0,0.1116,0.14
HFT-0144,mixtral-8x7b,zero_shot,0.0,0.0,0.1017,0.14
HFT-0145,mixtral-8x7b,zero_shot,0.1,0.5,0.0809,0.1973
HFT-0146,mixtral-8x7b,zero_shot,0.7,1.0,0.1454,0.1642
HFT-0147,mixtral-8x7b,zero_shot,0.4,0.9762,0.1417,0.1623
HFT-0148,mixtral-8x7b,zero_shot,0.0,0.0,0.126,0.1483
